icd_value,diagnosisname,count,sepsis_category,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
D33.2,Benign neoplasm of brain (CMS code),108,,ICD-10-CM,Neoplasms (C00-D49),"Benign neoplasms, except benign neuroendocrine tumors (D10-D36)",Benign neoplasm of brain and other parts of central nervous system
M54.81,Occipital neuralgia,108,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other dorsopathies (M50-M54),Dorsalgia
E07.89,Other specified disorders of thyroid,108,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Disorders of thyroid gland (E00-E07),Other disorders of thyroid
S91.209A,"Unspecified open wound of unspecified toe(s) with damage to nail, initial encounter",108,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the ankle and foot (S90-S99),"Open wound of ankle, foot and toes"
T46.6X5A,"Adverse effect of antihyperlipidemic and antiarteriosclerotic drugs, initial encounter",108,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances (T36-T50)","Poisoning by, adverse effect of and underdosing of agents primarily affecting the cardiovascular system"
E66.813,"Obesity, class 3 (CMS code)",108,,ICD-10-CM,,,
F02.811,"Dementia in other diseases classified elsewhere, unspecified severity, with agitation (CMS code)",108,,ICD-10-CM,,,
A31.2,Disseminated mycobacterium avium-intracellulare complex (DMAC) (CMS code),108,infection_other,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Other bacterial diseases (A30-A49),Infection due to other mycobacteria
L89.610,"Pressure ulcer of right heel, unstageable (CMS code)",108,,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Other disorders of the skin and subcutaneous tissue (L80-L99),Pressure ulcer
G50.1,Atypical facial pain,107,,ICD-10-CM,Diseases of the nervous system (G00-G99),"Nerve, nerve root and plexus disorders (G50-G59)",Disorders of trigeminal nerve
M47.819,"Spondylosis without myelopathy or radiculopathy, site unspecified",107,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Spondylopathies (M45-M49),Spondylosis
F60.0,Paranoid personality disorder (CMS code),107,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Disorders of adult personality and behavior (F60-F69),Specific personality disorders
T83.021A,"Displacement of indwelling urethral catheter, initial encounter",107,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications of genitourinary prosthetic devices, implants and grafts"
S62.619A,"Displaced fracture of proximal phalanx of unspecified finger, initial encounter for closed fracture",107,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the wrist, hand and fingers (S60-S69)",Fracture at wrist and hand level
E78.49,Other hyperlipidemia,107,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),Disorders of lipoprotein metabolism and other lipidemias
M25.762,"Osteophyte, left knee",107,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other joint disorders (M20-M25),"Other joint disorder, not elsewhere classified"
S92.912A,"Unspecified fracture of left toe(s), initial encounter for closed fracture",107,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the ankle and foot (S90-S99),"Fracture of foot and toe, except ankle"
N81.10,"Cystocele, unspecified",107,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Noninflammatory disorders of female genital tract (N80-N98),Female genital prolapse
W22.03XA,Striking against or struck accidentally by furniture without subsequent fall,107,,ICD-10-CM,External causes of morbidity (V00-Y99),Exposure to inanimate mechanical forces (W20-W49),Striking against or struck by other objects
Z15.89,Genetic susceptibility to other disease,107,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Genetic carrier and genetic susceptibility to disease (Z14-Z15),Genetic susceptibility to disease
I63.22,Cerebral infarction due to unspecified occlusion or stenosis of basilar artery (CMS code),107,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Cerebrovascular diseases (I60-I69),Cerebral infarction
Z84.2,Family history of other diseases of the genitourinary system,107,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Family history of other conditions
C49.5,Malignant neoplasm of connective and soft tissue of pelvis (CMS code),107,,ICD-10-CM,Neoplasms (C00-D49),Malignant neoplasms of mesothelial and soft tissue (C45-C49),Malignant neoplasm of other connective and soft tissue
C72.0,Malignant neoplasm of spinal cord (CMS code),107,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of eye, brain and other parts of central nervous system (C69-C72)","Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
I82.812,Embolism and thrombosis of superficial veins of left lower extremity,107,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",Other venous embolism and thrombosis
Y04.1XXA,Assault by human bite,107,,ICD-10-CM,External causes of morbidity (V00-Y99),Assault (X92-Y09),Assault by bodily force
F19.951,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations (CMS code)",107,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mental and behavioral disorders due to psychoactive substance use (F10-F19),Other psychoactive substance related disorders
S02.109A,"Closed fracture of base of skull without mention of intracranial injury, unspecified state of consciousness",107,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the head (S00-S09),Fracture of skull and facial bones
G83.89,Other specified paralytic syndrome,107,,ICD-10-CM,Diseases of the nervous system (G00-G99),Cerebral palsy and other paralytic syndromes (G80-G83),Other paralytic syndromes
I70.262,"Atherosclerosis of native arteries of extremities with gangrene, left leg (CMS code)",107,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of arteries, arterioles and capillaries (I70-I79)",Atherosclerosis
A08.11,Acute gastroenteropathy due to Norwalk agent,107,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Intestinal infectious diseases (A00-A09),Viral and other specified intestinal infections
I82.623,"Acute embolism and thrombosis of deep veins of upper extremity, bilateral (CMS code)",107,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",Other venous embolism and thrombosis
K29.21,Alcoholic gastritis with bleeding,107,,ICD-10-CM,Diseases of the digestive system (K00-K95),"Diseases of esophagus, stomach and duodenum (K20-K31)",Gastritis and duodenitis
W23.1XXA,"Caught, crushed, jammed, or pinched between stationary objects, initial encounter",107,,ICD-10-CM,External causes of morbidity (V00-Y99),Exposure to inanimate mechanical forces (W20-W49),"Caught, crushed, jammed or pinched in or between objects"
C49.4,Malignant neoplasm of connective and soft tissue of abdomen (CMS code),107,,ICD-10-CM,Neoplasms (C00-D49),Malignant neoplasms of mesothelial and soft tissue (C45-C49),Malignant neoplasm of other connective and soft tissue
C06.0,Malignant neoplasm of cheek mucosa (CMS code),107,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",Malignant neoplasm of other and unspecified parts of mouth
K56.5,Intestinal adhesions (bands) with obstruction (postinfection),107,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Paralytic ileus and intestinal obstruction without hernia
I88.0,Nonspecific mesenteric lymphadenitis,106,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",Nonspecific lymphadenitis
R45.0,Nervousness,106,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)",Symptoms and signs involving emotional state
S12.000A,Closed fracture of first cervical vertebra without mention of spinal cord injury,106,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the neck (S10-S19),Fracture of cervical vertebra and other parts of neck
S43.102A,"Unspecified dislocation of left acromioclavicular joint, initial encounter",106,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the shoulder and upper arm (S40-S49),Dislocation and sprain of joints and ligaments of shoulder girdle
W18.00XA,Fall against object,106,,ICD-10-CM,External causes of morbidity (V00-Y99),"Slipping, tripping, stumbling and falls (W00-W19)","Other slipping, tripping and stumbling and falls"
S40.812A,"Abrasion of left upper arm, initial encounter",106,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the shoulder and upper arm (S40-S49),Superficial injury of shoulder and upper arm
C44.320,Squamous cell carcinoma of skin of unspecified parts of face,106,,ICD-10-CM,Neoplasms (C00-D49),Melanoma and other malignant neoplasms of skin (C43-C44),Other and unspecified malignant neoplasm of skin
G72.49,"Other inflammatory and immune myopathies, not elsewhere classified",106,,ICD-10-CM,Diseases of the nervous system (G00-G99),Diseases of myoneural junction and muscle (G70-G73),Other and unspecified myopathies
S52.202A,"Unspecified fracture of shaft of left ulna, initial encounter for closed fracture",106,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the elbow and forearm (S50-S59),Fracture of forearm
Z91.83,Wandering in diseases classified elsewhere,106,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),"Personal risk factors, not elsewhere classified"
K05.30,"Chronic periodontitis, unspecified",106,,ICD-10-CM,Diseases of the digestive system (K00-K95),Diseases of oral cavity and salivary glands (K00-K14),Gingivitis and periodontal diseases
M65.4,Radial styloid tenosynovitis (de quervain),106,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Disorders of synovium and tendon (M65-M67),Synovitis and tenosynovitis
S68.119A,"Complete traumatic metacarpophalangeal amputation of unspecified finger, initial encounter",106,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the wrist, hand and fingers (S60-S69)","Traumatic amputation of wrist, hand and fingers"
A60.09,Herpesviral infection of other urogenital tract,106,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Infections with a predominantly sexual mode of transmission (A50-A64),Anogenital herpesviral [herpes simplex] infections
H00.015,Hordeolum externum left lower eyelid,106,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),"Disorders of eyelid, lacrimal system and orbit (H00-H05)",Hordeolum and chalazion
S86.811A,"Strain of other muscle(s) and tendon(s) at lower leg level, right leg, initial encounter",106,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the knee and lower leg (S80-S89),"Injury of muscle, fascia and tendon at lower leg level"
I63.30,Cerebral thrombosis with cerebral infarction (CMS code),106,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Cerebrovascular diseases (I60-I69),Cerebral infarction
C84.49,"Peripheral T cell lymphoma, unspecified site, extranodal and solid organ sites",106,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)",Mature T/NK-cell lymphomas
